Comment,Designator,Footprint,LCSC
"10uf","C1","Capacitor_SMD:C_0805_2012Metric","C440198"
"100nf","C2,C3","Capacitor_SMD:C_0805_2012Metric","C49678"
"1N4148","D1,D2","Diode_SMD:D_SOD-123","C81598"
"LED","D3","LED_SMD:LED_0805_2012Metric","C84256"
"Screw_Terminal_01x02","J1,J3,J4,J5,J6","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal","    C2922597"
"G5V-2","K1","Relay_THT:Relay_DPDT_Omron_G5V-2","C28089"
"1M","R1","Resistor_SMD:R_0805_2012Metric","C17514"
"10K","R2,R3,R4","Resistor_SMD:R_0805_2012Metric","C17414"
"1.5K","R5","Resistor_SMD:R_0805_2012Metric","C4310"
"NE555D","U1","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C7593"
